pattern,score,hits_in_gold,total_seen
PROPN,0.11567164179104478,31,268
PROPN+NOUN,0.1,3,30
PROPN+PROPN,0.08695652173913043,2,23
NOUN,0.03619554998433093,231,6382
NOUN+NOUN,0.0352,44,1250
ADJ+NOUN+NOUN+NOUN,0.03333333333333333,1,30
ADJ+NOUN,0.025835866261398176,34,1316
ADJ+NOUN+NOUN,0.024691358024691357,6,243
NOUN+ADP+NOUN,0.0026595744680851063,1,376
NOUN+ADP+PROPN,0.0,0,24
NOUN+ADP+ADJ+NOUN,0.0,0,117
NOUN+NOUN+ADP+NOUN,0.0,0,41
ADJ+NOUN+ADP+NOUN,0.0,0,96
NOUN+ADP+NOUN+NOUN,0.0,0,91
ADJ+ADJ+NOUN,0.0,0,88
NOUN+NOUN+NOUN,0.0,0,146
NOUN+ADJ+NOUN,0.0,0,22
ADJ+PROPN,0.0,0,11
ADJ+NOUN+ADP+PROPN,0.0,0,6
NOUN+ADP+ADJ+ADJ+NOUN,0.0,0,9
ADJ+NOUN+ADP+NOUN+NOUN,0.0,0,24
ADJ+ADJ+NOUN+NOUN,0.0,0,12
NOUN+PROPN,0.0,0,21
ADJ+NOUN+PROPN,0.0,0,4
PROPN+ADP+ADJ+NOUN,0.0,0,2
NOUN+PROPN+ADP+ADJ+NOUN,0.0,0,1
ADJ+NOUN+ADP+ADJ+NOUN,0.0,0,25
PROPN+ADP+NOUN,0.0,0,1
NOUN+NOUN+ADP+ADJ+NOUN,0.0,0,16
NOUN+PROPN+PROPN,0.0,0,2
ADJ+NOUN+NOUN+ADP+NOUN,0.0,0,9
NOUN+NOUN+ADP+NOUN+NOUN,0.0,0,13
PROPN+NOUN+NOUN,0.0,0,9
NOUN+ADP+PROPN+NOUN,0.0,0,5
NOUN+ADP+PROPN+NOUN+NOUN,0.0,0,2
NOUN+NOUN+NOUN+ADP+NOUN,0.0,0,5
ADJ+ADP+NOUN,0.0,0,16
NOUN+NOUN+PROPN,0.0,0,8
NOUN+ADP+NOUN+PROPN,0.0,0,1
NOUN+ADP+PROPN+PROPN,0.0,0,4
PROPN+NOUN+ADP+ADJ+NOUN,0.0,0,1
PROPN+PROPN+NOUN,0.0,0,4
NOUN+NOUN+NOUN+NOUN,0.0,0,7
NOUN+ADJ+NOUN+NOUN,0.0,0,4
NOUN+ADJ+NOUN+NOUN+NOUN,0.0,0,2
NOUN+ADP+ADJ+NOUN+NOUN,0.0,0,23
ADJ+PROPN+NOUN,0.0,0,3
ADJ+PROPN+NOUN+NOUN,0.0,0,1
ADJ+NOUN+NOUN+NOUN+NOUN,0.0,0,2
ADJ+ADJ+NOUN+ADP+NOUN,0.0,0,3
ADJ+ADJ+ADJ+NOUN,0.0,0,3
PROPN+PROPN+NOUN+NOUN,0.0,0,1
ADJ+NOUN+ADP+PROPN+NOUN,0.0,0,2
ADJ+ADP+ADJ+NOUN,0.0,0,5
NOUN+ADP+NOUN+NOUN+NOUN,0.0,0,9
PROPN+PROPN+PROPN,0.0,0,3
PROPN+NOUN+NOUN+PROPN,0.0,0,1
NOUN+NOUN+NOUN+PROPN,0.0,0,1
NOUN+ADJ+PROPN,0.0,0,1
ADJ+PROPN+PROPN,0.0,0,2
NOUN+ADJ+PROPN+PROPN,0.0,0,1
NOUN+ADP+PROPN+PROPN+NOUN,0.0,0,1
ADJ+ADP+ADJ+ADJ+NOUN,0.0,0,1
NOUN+NOUN+ADP+PROPN,0.0,0,2
NOUN+NOUN+NOUN+ADP+PROPN,0.0,0,1
ADJ+NOUN+NOUN+PROPN,0.0,0,2
PROPN+PROPN+PROPN+NOUN,0.0,0,1
NOUN+PROPN+NOUN,0.0,0,1
ADJ+ADP+NOUN+NOUN,0.0,0,4
ADJ+NOUN+ADJ+NOUN,0.0,0,1
ADJ+ADP+ADJ+NOUN+NOUN,0.0,0,1
ADJ+ADP+NOUN+NOUN+NOUN,0.0,0,1
ADJ+ADJ+ADJ+NOUN+NOUN,0.0,0,1
ADJ+ADJ+NOUN+NOUN+NOUN,0.0,0,1
PROPN+NOUN+NOUN+NOUN,0.0,0,1
ADJ+ADJ+NOUN+PROPN,0.0,0,1
ADJ+NOUN+PROPN+PROPN,0.0,0,1
ADJ+ADJ+NOUN+PROPN+PROPN,0.0,0,1
ADJ+ADJ+NOUN+ADP+PROPN,0.0,0,1
