phrase_original,phrase_normalized,structure,len,freq_global,doc_freq,pattern_score,in_gold,status,delta_f,f_score_after
agents,agent,NOUN,1,121,37,0.036196,True,accepted,0.0010741138560687433,0.0010741138560687433
algorithm,algorithm,PROPN,1,74,36,0.115672,True,accepted,0.0010729607547739835,0.0021470746108427268
web,web,NOUN,1,85,21,0.036196,True,accepted,0.001071809509328947,0.003218884120171674
search,search,NOUN,1,65,28,0.036196,True,accepted,0.0010706601157532596,0.004289544235924933
networks,network,NOUN,1,58,32,0.036196,True,accepted,0.0010695125700772093,0.005359056806002143
games,game,NOUN,1,82,18,0.036196,True,accepted,0.0010683668683417243,0.006427423674343867
framework,framework,NOUN,1,39,26,0.036196,True,accepted,0.0010672230065983165,0.0074946466809421835
documents,document,NOUN,1,52,17,0.036196,True,accepted,0.0010660809809090732,0.008560727661851257
design,design,NOUN,1,31,21,0.036196,True,accepted,0.001064940787346605,0.009625668449197862
events,event,NOUN,1,46,12,0.036196,True,accepted,0.0010638024219940152,0.010689470871191877
auctions,auction,NOUN,1,47,11,0.036196,True,accepted,0.001062665880944877,0.011752136752136754
bids,bid,NOUN,1,37,14,0.036196,True,accepted,0.0010615311603031832,0.012813667912439937
cost,cost,NOUN,1,30,18,0.036196,True,accepted,0.0010603982561833303,0.013874066168623267
function,function,NOUN,1,31,17,0.036196,True,accepted,0.0010592671647100677,0.014933333333333335
case,case,NOUN,1,25,20,0.036196,True,accepted,0.001058137882018478,0.015991471215351813
nodes,node,NOUN,1,34,13,0.036196,True,accepted,0.0010570104042539434,0.017048481619605756
prices,price,NOUN,1,27,14,0.036196,True,accepted,0.0010558847275720928,0.01810436634717785
experiments,experiment,NOUN,1,20,20,0.036196,True,accepted,0.0010547608481388075,0.019159127195316657
equilibrium,equilibrium,NOUN,1,28,11,0.036196,True,accepted,0.0010536387621301498,0.020212765957446806
bidders,bidder,NOUN,1,23,10,0.036196,True,accepted,0.0010525184657323508,0.021265284423179157
protocol,protocol,NOUN,1,21,11,0.036196,True,accepted,0.0010513999551417762,0.022316684378320933
constraints,constraint,NOUN,1,17,12,0.036196,True,accepted,0.001050283226564884,0.023366967604885817
context,context,NOUN,1,17,11,0.036196,True,accepted,0.0010491682762182146,0.024416135881104032
web search,web search,NOUN+NOUN,2,18,7,0.0352,True,accepted,0.001048055100328328,0.02546419098143236
payment,payment,NOUN,1,13,8,0.036196,True,accepted,0.001046943695131794,0.026511134676564154
sensor networks,sensor network,NOUN+NOUN,2,11,8,0.0352,True,accepted,0.0010458340568751667,0.02755696873343932
goals,goal,NOUN,1,14,7,0.036196,True,accepted,0.0010447261818149131,0.028601694915254234
sensor nodes,sensor node,NOUN+NOUN,2,12,6,0.0352,True,accepted,0.0010436200662174468,0.02964531498147168
gains,gain,NOUN,1,11,7,0.036196,True,accepted,0.0010425157063590103,0.03068783068783069
players,player,NOUN,1,16,4,0.036196,True,accepted,0.0010414130985257376,0.03172924378635643
index,index,NOUN,1,12,6,0.036196,True,accepted,0.0010403122390135536,0.03276955602536998
control,control,NOUN,1,11,6,0.036196,True,accepted,0.0010392131241281702,0.03380876914949815
logic,logic,NOUN,1,11,6,0.036196,True,accepted,0.001038115750185059,0.03484688489968321
feedback,feedback,NOUN,1,11,6,0.036196,True,accepted,0.0010370201135094029,0.035883905013192614
nash equilibrium,nash equilibrium,NOUN+NOUN,2,9,6,0.0352,True,accepted,0.0010359262104360778,0.03691983122362869
tree,tree,NOUN,1,9,6,0.036196,True,accepted,0.001034834037309626,0.03795466526093832
ratio,ratio,NOUN,1,9,6,0.036196,True,accepted,0.0010337435904842346,0.03898840885142255
relationships,relationship,NOUN,1,9,6,0.036196,True,accepted,0.0010326548663236249,0.04002106371774618
pagerank,pagerank,PROPN,1,11,4,0.115672,True,accepted,0.0010315678612011908,0.04105263157894737
grid,grid,PROPN,1,9,5,0.115672,True,accepted,0.0010304825714997634,0.04208311415044713
contracts,contract,NOUN,1,9,5,0.036196,True,accepted,0.0010293989936117492,0.04311251314405888
group,group,NOUN,1,8,5,0.036196,True,accepted,0.0010283171239390126,0.044140830267997894
demand,demand,NOUN,1,7,6,0.036196,True,accepted,0.0010272369588928618,0.045168067226890755
scores,score,NOUN,1,9,4,0.036196,True,accepted,0.001026158494894014,0.04619422572178477
trec,trec,PROPN,1,8,4,0.115672,True,accepted,0.0010250817283726232,0.04721930745015739
rank,rank,NOUN,1,7,5,0.036196,True,accepted,0.001024006655768149,0.04824331410592554
graph,graph,NOUN,1,8,4,0.036196,True,accepted,0.0010229332735293903,0.04926624737945493
implicit feedback,implicit feedback,ADJ+NOUN,2,6,4,0.025836,True,accepted,0.0010218615781144788,0.05028810895756941
loss,loss,NOUN,1,6,5,0.036196,True,accepted,0.001020791565990796,0.05130890052356021
core,core,NOUN,1,6,5,0.036196,True,accepted,0.0010197232336349796,0.052328623757195186
access,access,NOUN,1,6,5,0.036196,True,accepted,0.0010186565775328477,0.053347280334728034
trades,trade,NOUN,1,7,3,0.036196,True,accepted,0.001017591594179447,0.05436487192890748
wireless sensor networks,wireless sensor network,ADJ+NOUN+NOUN,3,5,4,0.024691,True,accepted,0.001016528280078935,0.055381400208986416
belief,belief,NOUN,1,5,3,0.036196,True,accepted,0.0010154666317446562,0.05639686684073107
argument,argument,NOUN,1,5,3,0.036196,True,accepted,0.0010144066456989898,0.05741127348643006
products,product,NOUN,1,5,3,0.036196,True,accepted,0.0010133483184734324,0.058424621804903494
linear program,linear program,ADJ+NOUN,2,4,3,0.025836,True,accepted,0.0010122916466084944,0.05943691345151199
sellers,seller,NOUN,1,4,3,0.036196,True,accepted,0.0010112366266537207,0.06044815007816571
