method,stop_k,non_k,stop_count,precision,recall,f_score
frequency_compensation,50.0,0.0,50,0.17735849056603772,0.19002695417789758,0.18347430058555628
frequency_compensation,50.0,50.0,9,0.18254788206310102,0.257973944294699,0.2138036952575976
frequency_compensation,50.0,100.0,4,0.18104933437744714,0.25965858041329737,0.21334317615576265
frequency_compensation,100.0,0.0,100,0.17240509522007819,0.15352650494159928,0.16241905780312482
frequency_compensation,100.0,50.0,50,0.18011978188969338,0.2263027852650494,0.20058732765915085
frequency_compensation,100.0,100.0,17,0.1833266210229561,0.2556154537286613,0.21351845771377648
frequency_compensation,200.0,0.0,200,0.17039759438690277,0.11455525606469003,0.13700470114170585
frequency_compensation,200.0,50.0,150,0.17537904503281285,0.17407906558849956,0.17472663735768235
frequency_compensation,200.0,100.0,100,0.17702573879885605,0.2085579514824798,0.1915025265546045
train_based,,,140,0.23944511459589868,0.26752021563342315,0.2527052832590707
