token,status,delta_f,f_score_after
paper,accepted,0.00016763926856544487,0.21445006902899216
result,accepted,0.0005540834117201687,0.21500415244071233
new,accepted,0.0024254658515746597,0.217429618292287
datum,accepted,0.000962257231797603,0.2183918755240846
application,accepted,0.00042384630607852913,0.21881572183016312
such,accepted,0.0009047022246262415,0.21972042405478936
other,accepted,0.0007757393872856733,0.22049616344207504
case,accepted,0.0004889280846281097,0.22098509152670315
different,accepted,0.0011634181638621455,0.2221485096905653
large,accepted,0.00029533321203240037,0.2224438429025977
scheme,accepted,0.00024343414853192358,0.22268727705112962
many,accepted,0.0005627706314948466,0.22325004768262446
parameter,accepted,0.00019387621067318284,0.22344392389329765
example,accepted,0.00019243974306598632,0.22363636363636363
simple,accepted,0.0010471806674338113,0.22468354430379744
way,accepted,0.0003668831287258201,0.22505042743252326
feature,accepted,0.00027321663119492245,0.2253236440637182
low,accepted,0.0003149101531492726,0.22563855421686746
experimental,accepted,0.00031579161586264837,0.2259543458327301
important,accepted,0.00027294446491193947,0.22622729029764205
various,accepted,0.0006247858688389063,0.22685207616648095
several,accepted,0.0005817669993359864,0.22743384316581694
current,accepted,0.00022821640202422278,0.22766205956784116
good,accepted,0.0005611917117104015,0.22822325127955156
input,accepted,0.00036213841016255466,0.22858538968971412
particular,accepted,0.0003131766360675303,0.22889856632578165
change,accepted,0.0001374838309581572,0.2290360501567398
device,accepted,0.0002951897235408396,0.22933123988028065
issue,accepted,0.00039118704185150954,0.22972242692213216
experiment,accepted,0.00018071482524972815,0.22990314174738188
efficient,accepted,0.0005365647866670542,0.23043970653404894
small,accepted,0.0004053777771629852,0.23084508431121192
more,accepted,0.0004521355791638759,0.2312972198903758
multiple,accepted,0.0001723496296637539,0.23146956952003955
possible,accepted,0.0002522454195285073,0.23172181493956806
same,accepted,0.00061244468726801,0.23233425962683607
dimensional,accepted,0.00033482549963612107,0.2326690851264722
need,accepted,0.00013883093936245539,0.23280791606583465
form,accepted,0.0001785926213760114,0.23298650868721066
year,accepted,0.00015088296368101495,0.23313739165089167
degree,accepted,0.00016270805000564992,0.23330009970089732
comparison,accepted,0.00011635915197050206,0.23341645885286783
conventional,accepted,0.00020319755943740136,0.23361965641230523
node,accepted,0.00012190819654256391,0.2337415646088478
common,accepted,0.00031589860068267916,0.23405746320953047
useful,accepted,0.00032927490836404116,0.2343867381178945
main,accepted,0.00045300707947720786,0.23483974519737172
available,accepted,0.00016502316080727053,0.235004768358179
version,accepted,0.00024797006007043487,0.23525273841824942
most,accepted,0.00017744210168821328,0.23543018051993764
future,accepted,0.0002607331473163388,0.23569091366725398
